Order ID,ship-city,ship-state,ship-postal-code,ship-country
407-5707980-6078730,Agra,UTTAR PRADESH,282005,IN
171-2404061-2662719,AGRA,UTTAR PRADESH,282004,IN
406-5640529-6182707,AGRA,UTTAR PRADESH,282005,IN
402-1554505-8669152,AGRA,UTTAR PRADESH,282007,IN
408-8371911-9385969,Agra,UTTAR PRADESH,282010,IN
406-0424093-0508351,AGRA,UTTAR PRADESH,282002,IN
405-5763491-2434741,AGRA,UTTAR PRADESH,282010,IN
405-5763491-2434741,AGRA,UTTAR PRADESH,282010,IN
402-6851302-7956308,AGRA,UTTAR PRADESH,282007,IN
402-9674538-7989952,AGRA,UTTAR PRADESH,282004,IN
402-9979578-9044308,AGRA,UTTAR PRADESH,282005,IN
405-5069356-2545165,AGRA,UTTAR PRADESH,282010,IN
405-5069356-2545165,AGRA,UTTAR PRADESH,282010,IN
402-0420471-5838708,AGRA,UTTAR PRADESH,282005,IN
406-3280688-0848339,AGRA,UTTAR PRADESH,282009,IN
406-3216718-7128352,AGRA 282005,UTTAR PRADESH,282005,IN
408-2845248-7949914,Agra-282001,UTTAR PRADESH,282001,IN
171-3379820-1665945,ahemadabad,Gujarat,380028,IN
406-7355996-4809118,Ahemdabad,Gujarat,380058,IN
171-1497389-0950758,Ahemdabad,Gujarat,380058,IN
171-7557579-4470708,Ahemdabad,Gujarat,380058,IN
407-9722349-2616319,Ahemdabad,Gujarat,382213,IN
403-0097861-4944331,Ahemedabad,Gujarat,382424,IN
402-7986605-2248317,AHERI,MAHARASHTRA,442705,IN
403-1171932-5231523,AHIWARA,CHHATTISGARH,490036,IN
408-0002216-6148343,Ahiwara,CHHATTISGARH,490036,IN
404-4641238-4017923,Ahmadabad,Gujarat,380001,IN
408-9822177-5234707,AHMADNAGAR,MAHARASHTRA,414003,IN
407-7458421-9729964,AHMADNAGAR,MAHARASHTRA,414002,IN
402-2971673-4857164,AHMADNAGAR,MAHARASHTRA,414003,IN
406-0380261-1993138,AHMADNAGAR,MAHARASHTRA,414111,IN
405-0503857-0573169,AHMADNAGAR,MAHARASHTRA,414111,IN
402-1545696-7090760,AHMADNAGAR,MAHARASHTRA,414001,IN
408-0566626-9080307,AHMADNAGAR,MAHARASHTRA,414001,IN
407-5391006-2161144,AHMADNAGAR,MAHARASHTRA,414003,IN
407-3057316-4737918,AHMADNAGAR,MAHARASHTRA,414001,IN
408-6943125-2652301,AHMADNAGAR,MAHARASHTRA,414001,IN
408-6253512-8004332,AHMADNAGAR,MAHARASHTRA,414001,IN
403-2004354-2305123,AHMADNAGAR,MAHARASHTRA,414003,IN
408-2768972-2920329,AHMADNAGAR,MAHARASHTRA,414005,IN
403-5859220-7857110,AHMADNAGAR,MAHARASHTRA,422622,IN
405-0932330-1144313,AHMADNAGAR,MAHARASHTRA,414005,IN
408-3765288-5825110,AHMADNAGAR,MAHARASHTRA,414002,IN
405-8135797-6337149,AHMADNAGAR,MAHARASHTRA,414111,IN
405-9340529-4895534,AHMADNAGAR,MAHARASHTRA,414111,IN
408-7682821-7485118,AHMADNAGAR,MAHARASHTRA,414111,IN
408-5456181-8323525,AHMADNAGAR,MAHARASHTRA,414111,IN
408-6111499-1648309,AHMADNAGAR,MAHARASHTRA,414002,IN
406-5967545-7472362,AHMADNAGAR,MAHARASHTRA,414001,IN
402-0363209-1812350,AHMADNAGAR,MAHARASHTRA,414003,IN
407-0176280-7137917,AHMADNAGAR,MAHARASHTRA,414003,IN
404-2855007-6314734,AHMADNAGAR,MAHARASHTRA,414003,IN
403-5789591-8204325,AHMADNAGAR,MAHARASHTRA,414003,IN
408-6280584-2121935,AHMADNAGAR,MAHARASHTRA,414001,IN
405-9530553-8097129,AHMADNAGAR,MAHARASHTRA,414003,IN
407-9378187-4721107,AHMADNAGAR,MAHARASHTRA,414501,IN
406-4659851-6794738,AHMADNAGAR,MAHARASHTRA,414601,IN
405-8097379-7827543,AHMADPUR,WEST BENGAL,731201,IN
406-4437934-7336305,AHMED NAGAR,MAHARASHTRA,423107,IN
406-1917064-1341958,AHMED NAGAR,MAHARASHTRA,423107,IN
406-5103760-7326749,Ahmedabad,Gujarat,380051,IN
403-3561336-3563535,AHMEDABAD,Gujarat,380015,IN
408-7201398-0382766,AHMEDABAD,Gujarat,380058,IN
